accord: according
change: changed changes
german: germans
surround: surrounded
serve: served serving
abandon: abandoned
pyrate: pyrates
expand: expanded
recentchangeslinke: recentchangeslinked
drouge: drouges
archive: archives archived
thought: thoughts
credit: credited
ecole: ecoles
race: racing
period: periods
offence: offences
associate: associated
drink: drinking
buccaneer: buccaneers
beggar: beggars
bomb: bombed
hand: handed
border: bordered
statistic: statistics
exclude: excludes
surrender: surrendered
revision: revisions
garrison: garrisoned garrisons
operation: operations
fbook: fbooks
set: setting
jiaje: jiajing
absme: absmes
twin: twinned
moutier: moutiers
privee: privees
nowraplink: nowraplinks
intend: intending
destination: destinations
contain: containing
city: cities
disclaimer: disclaimers
attach: attached
uskok: uskoks
novel: novels
return: returned
politic: politics
retrieve: retrieved
population: populations
common: commons
canton: cantons
wall: walled
prefecture: prefectures
include: included
prisoner: prisoners
reference: references
statistique: statistiques
voyage: voyages
fight: fighting
hawkin: hawkins
language: languages
firstheade: firstheading
close: closer
troop: troops
protect: protected
merge: merged merging
availle: availles
water: waters
afrikaan: afrikaans
maroon: marooning
select: selected
currentevent: currentevents
provide: provided
emplacement: emplacements
fdataset: fdatasets
kilometre: kilometres
fdestination: fdestinations
link: linked
soften: softened
portray: portrayed
identity: identities
slave: slaves
high: highest higher
rempart: remparts
depart: departing
study: studies
olivi: olivier
house: houses
estuary: estuaries
googtran: googtrans
unporte: unported
science: sciences
sailor: sailors
face: facing
cache: cached
coordinate: coordinates
despre: despres
nopopup: nopopups
cofre: cofres
beach: beaches
langlink: langlinks
compte: comptes
cossack: cossacks
indicator: indicators
preschool: preschools
raider: raiders
catlink: catlinks
contribution: contributions
haven: havens
incident: incidents
declare: declared
hide: hidden
location: locations
plainlink: plainlinks
bury: buried
place: places
sentence: sentences
grande: grandes
settlement: settlements
brielle: brielles
log: logged
republican: republicans
ville: villes
brother: brothers
microformat: microformats
departement: departements
route: routes
briton: britons
trelle: trelles
dot: dotted
state: states
fortify: fortified
ally: allied allies
force: forced forces
fstatistique: fstatistiques
hunter: hunters
service: services
receive: received
param: params
gille: gilles
inhabitant: inhabitants
strange: stranger
found: founded
content: contents
advance: advanced
parse: parsed
genne: gennes
second: seconds
comic_strip: comics
enable: enabled
walk: walking
category: categories
condorferrie: condorferries
commune: communes
department: departments
dataset: datasets
position: positions
hijack: hijacking
remain: remained
shell: shelling
resort: resorts
flibusti: flibustier
call: called
strangway: strangways
follow: follows
parent: parents
photograph: photographs
variant: variants
derive: derived derives
fnormale: fnormales
entity: entities
license: licenses
trace: traces tracing
ferry: ferries
climatique: climatiques
collapse: collapsed collapses
conomique: conomiques
assert: asserting
authority: authorities
frontier: frontiers
village: villages
represent: represented
decorate: decorated
forge: forges
explorer: explorers
chiver: chivers
structure: structured
recentchange: recentchanges
malouin: malouins
bring: brought
regard: regarding
lycee: lycees
maire: maires
castaway: castaways
earn: earning
school: schools
publique: publiques
indie: indies
george: georges
encourage: encouraged
model: models
control: controls
celebe: celebes
henrique: henriques
maternelle: maternelles
editor: editors
take: taking
ushkuynik: ushkuyniks
retier: retiers
become: became
region: regions
public: publics
space: spacing
complication: complications
robot: robots
event: events
recommend: recommended
article: articles
overlay: overlays
figure: figures
guide: guides
attack: attacks attacked
relate: related
colonist: colonists
endure: enduring
rebuild: rebuilt
sitelink: sitelinks
instrument: instruments
learn: learning
cormi: cormier
roger: rogers
privateere: privateering
fferrie: fferries
pirate: pirates
operate: operated
style: styles
wound: wounded
nichola: nicholas
mycontribution: mycontributions
departure: departures
otherproject: otherprojects
flee: fleeing
sail: sailed
falkland: falklands
elementaire: elementaires
viking: vikings
register: registered
donate: donating
photo: photos
far: further
dealing: dealings
paint: painted
respect: respecting
browse: browsing
prive: prives
caction: cactions
rampart: ramparts
abduction: abductions
launch: launched
daome: daoming
shipwreck: shipwrecks
booksource: booksources
moulin: moulins
resourceloaderdynamicstyle: resourceloaderdynamicstyles
namespace: namespaces
hughe: hughes
adventure: adventures
group: groups
etablissement: etablissements
valain: valains
chartre: chartres
college: colleges
identifier: identifiers
specialpage: specialpages
inch: inches
fly: flying
island: islands
origin: origins
pin: pinned
privateer: privateers
head: heading
rebel: rebelled
straggler: stragglers
temperature: temperatures
load: loaded
shorten: shortened
reduce: reduced
occupy: occupied
woode: woodes
century: centuries
power: powered
trope: tropes
refuse: refused
edit: edited editing
civilian: civilians
source: sources
creativecommon: creativecommons
arrondissement: arrondissements
exist: exists
host: hosted
visit: visiting visited
rimain: rimains
glacier: glaciers
save: saving
project: projects
object: objects
charle: charles
pass: passing
improvement: improvements
telli: tellier
reinforce: reinforced
option: options
medalist: medalists
library: libraries
narentine: narentines
locate: located
porte: portes
begin: beginning
publish: publishing
column: columns
unpin: unpinned
portal: portals
double: doubled
norme: normes
trigger: triggered
bazouge: bazouges
mentaire: mentaires
record: records
render: rendering
malouine: malouines
latitude: latitudes
developer: developers
decode: decoding
suburb: suburbs
offer: offering
subprefecture: subprefectures
mayor: mayors
fillibuster: fillibusters
normale: normales
image: images
battle: battles
destroy: destroyed
crossbone: crossbones
renne: rennes
cross: crossing
capture: captured
mordelle: mordelles
