increase: increased
specialpage: specialpages
kilometer: kilometers
change: changes
discover: discovered
need: needed needing
langlink: langlinks
island: islands
german: germans
pin: pinned
cannon: cannons
complete: completed
round: rounds
support: supporting
thwart: thwarted
indicator: indicators
head: heading
beginner: beginners
catlink: catlinks
expand: expanded
recentchangeslinke: recentchangeslinked
load: loaded
state: states stating
order: ordered
contribution: contributions
supply: supplies
bruge: bruges
reduce: reduced
newspaper: newspapers
allow: allowed
associate: associated
structure: structured
recentchange: recentchanges
long: longer
campaign: campaigns
remove: removed
landing: landings
bring: brought
rally: rallied
expose: exposed
add: adding
hide: hidden
recall: recalled
flank: flanks
clear: clearing
power: powered
plainlink: plainlinks
require: required
ranger: rangers
collapse: collapsed collapses
award: awarded
statistic: statistics
place: placed places
allude: alluded
action: actions
beat: beaten
suppress: suppressed
revision: revisions
edit: edited editing
sentence: sentences
encourage: encouraged
operation: operations
start: started
siegfrie: siegfried
seize: seized
control: controls
log: logged
source: sources
creativecommon: creativecommons
editor: editors
exist: exists
leader: leaders
strike: struck
host: hosted
visit: visited
fail: failed
hold: holding
nowraplink: nowraplinks
army: armies
farticle: farticles
establish: established
contain: containing
drive: driven
mortar: mortars mortaring
reference: references referencing
reorganise: reorganising
company: companies
space: spacing
metre: metres
complication: complications
request: requested
soldier: soldiers
robot: robots
disclaimer: disclaimers
deserve: deserves
dot: dotted
event: events
battery: batteries
prop: propping
inflict: inflicted
article: articles
ally: allied
return: returned
dress: dressed
minute: minutes
casualty: casualties
highlander: highlanders
retrieve: retrieved
guide: guides
attack: attacks attacking
improvement: improvements
relate: related
continue: continued
unsource: unsourced
sitelink: sitelinks
common: commons
service: services
remain: remaining
respond: responded
drown: drowned
receive: received
feed: feeding
hundred: hundreds
logistic: logistics
command: commanding
hit: hitting
option: options
task: tasked
prisoner: prisoners
style: styles
wound: wounds wounded
ferry: ferried
mycontribution: mycontributions
find: finding
argyll: argylls
magazine: magazines
reach: reached
have: having
repulse: repulsed
language: languages
content: contents
estimate: estimated
firstheade: firstheading
commander: commanders
register: registered
knock: knocked
challenge: challenged
donate: donating
belligerent: belligerents
unpin: unpinned
parse: parsed
match: matches
select: selected
detach: detached
second: seconds
currentevent: currentevents
enable: enabled
provide: provided
category: categories
trigger: triggered
miss: missing missed
browse: browsing
pass: passed
link: linked
loss: losses
caction: cactions
expect: expected
fear: feared
number: numbers
defence: defences
distinguish: distinguished
render: rendering
position: positions
launch: launched
developer: developers
gunner: gunners
decode: decoding
vicker: vickers
shell: shelling
high: highest
ignore: ignoring
citation: citations
resourceloaderdynamicstyle: resourceloaderdynamicstyles
namespace: namespaces
radio: radios
rifleman: riflemen
arrange: arranged
kill: killed
involve: involving
evacuate: evacuated
choose: chosen
direct: directed
write: written
unporte: unported
variant: variants
image: images
battle: battles
entity: entities
license: licenses
blanket: blanketed
cross: crossing
engineer: engineers
cache: cached
leave: leaving
coordinate: coordinates
element: elements
capture: captured
