devastate: devastated
identifier: identifiers
specialpage: specialpages
change: changes
quantity: quantities
langlink: langlinks
fly: flying
german: germans
liberator: liberators
pin: pinned
complete: completed
authority: authorities
jaguar: jaguars
indicator: indicators
damage: damaged
head: heading
statement: statements
catlink: catlinks
expand: expanded
name: naming
recentchangeslinke: recentchangeslinked
load: loaded
repair: repaired
contribution: contributions
fortress: fortresses
runway: runways
reduce: reduced
length: lengths
bulldoze: bulldozed
occupy: occupied
associate: associated
structure: structures structured
recentchange: recentchanges
remove: removed
hide: hidden
turn: turned
fchiffre: fchiffres
power: powered
plainlink: plainlinks
collapse: collapsed collapses
statistic: statistics
place: places
follow: following
andrew: andrews
naple: naples
revision: revisions
edit: edited editing
footnote: footnotes
maraud: marauder
sentence: sentences
junker: junkers
encourage: encouraged
operation: operations
need: needed
airplane: airplanes
ground: grounds
ship: shipped
seize: seized
control: controls
log: logged
carry: carried
electronic: electronics
source: sources
creativecommon: creativecommons
incorporate: incorporating incorporates
editor: editors
exist: exists
host: hosted
visit: visited
equip: equipped
weapon: weapons
nowraplink: nowraplinks
chip: chipping
taxiway: taxiways
ally: allied allies
become: became
establish: established
contain: containing
loyette: loyettes
region: regions
litter: littered littering
stanste: stansted
run: running
airport: airports
read: reading
thunderbolt: thunderbolts
building: buildings
fit: fitted
engage: engaged
cite: citing
space: spacing
angad: angads
metre: metres
complication: complications
departement: departements
demolish: demolished
robot: robots
disclaimer: disclaimers
project: projects
match: matching
rafale: rafales
event: events
article: articles
state: states
clastre: clastres
appear: appears
remain: remains
force: forces
shelter: shelters
command: commands
retrieve: retrieved
guide: guides
attack: attacks attacked
rocket: rockets
improvement: improvements
relate: related
unsource: unsourced
sitelink: sitelinks
common: commons
construct: constructed
consider: considered
param: params
bomber: bombers
unguide: unguided
option: options
harden: hardened
operate: operated
negotiation: negotiations
reference: references
amien: amiens
lack: lacking
style: styles
mycontribution: mycontributions
relocate: relocated
otherproject: otherprojects
library: libraries
hangar: hangars
locate: located
measure: measuring
assign: assigned
language: languages
content: contents
firstheade: firstheading
munition: munitions
register: registered
algier: algiers
advance: advanced
reject: rejected
donate: donating
photo: photos
erect: erected
unpin: unpinned
portal: portals
parse: parsed
far: further
select: selected
second: seconds
installation: installations
mohamme: mohammed
currentevent: currentevents
enable: enabled
category: categories
land: landing landed
station: stations
trigger: triggered
browse: browsing
airfield: airfields
department: departments
link: linked
derive: derived
consolidate: consolidated
include: includes
caction: cactions
boxte: boxted
render: rendering
identity: identities
char: charred
developer: developers
decode: decoding
booksource: booksources
mission: missions
high: highest
citation: citations
resourceloaderdynamicstyle: resourceloaderdynamicstyles
namespace: namespaces
istre: istres
sweep: sweeps
designate: designated
crater: craters
group: groups
unporte: unported
variant: variants
image: images
interceptor: interceptors
entity: entities
squadron: squadrons
license: licenses
establishment: establishments
renew: renewed
engineer: engineers
propose: proposed
cache: cached
coordinate: coordinates
refuel: refueling
capture: captured
introduce: introducing
