specialpage: specialpages
change: changes
pin: pinned
indicator: indicators
head: heading
statement: statements
catlink: catlinks
license: licensed
load: loaded
represent: represents
contribution: contributions
frame: framed
reduce: reduced
associate: associated
recentchange: recentchanges
restriction: restrictions
burn: burned
digitize: digitizing
hide: hidden
filelink: filelinks
power: powered
plainlink: plainlinks
require: required
exercise: exercising
small: smaller
collapse: collapsed collapses
qualifier: qualifiers
statistic: statistics
archive: archives
compile: compiled
place: places
follow: following
member: members
version: versions
mediainfoviewstatement: mediainfoviewstatements
sentence: sentences
encourage: encouraged
inject: injected
slowke: slowking
siegfrie: siegfried
create: created
crop: cropped
control: controls
log: logged
pixel: pixels
editor: editors
exist: exists
visit: visited
resolution: resolutions
dimension: dimensions
contain: contains containing
upload: uploading
confirm: confirmed
other: others
determine: determining determined
caption: captions
complication: complications
robot: robots
disclaimer: disclaimers
project: projects
cellpadde: cellpadding
stre: string
attach: attached
event: events
article: articles
mediainfoviewcaption: mediainfoviewcaptions
depict: depicts
retrieve: retrieved
guide: guides
expire: expired
improvement: improvements
relate: related
common: commons
edit: editing
amember: amembers
describe: described
option: options
mycontribution: mycontributions
cellspace: cellspacing
usnationalarchive: usnationalarchives
language: languages
content: contents
firstheade: firstheading
donate: donating
photo: photos
condition: conditions
parse: parsed
support: supported
select: selected
list: listed
second: seconds
formality: formalities
currentevent: currentevents
enable: enabled
trigger: triggered
datetimedigitize: datetimedigitized
catalog: cataloged
browse: browsing
window: windows
component: components
modify: modified
uncalibrate: uncalibrated
record: records
caction: cactions
portray: portrayed
appear: appeared
detail: details
render: rendering
holding: holdings
developer: developers
decode: decoding
high: highest
resourceloaderdynamicstyle: resourceloaderdynamicstyles
namespace: namespaces
review: reviewed
right: rights
photograph: photographs
share: shared
variant: variants
image: images
entity: entities
check: checked
cache: cached
post: posted
reason: reasons
