change: changes
chapter: chapters
bibliocommon: bibliocommons
involve: involved
phrase: phrases
pad: padded
associate: associated
bookcrosse: bookcrossing
identify: identifies
require: required
bibliography: bibliographies
statistic: statistics
class: classes
andrew: andrews
cooperate: cooperating
set: setting
serial: serials
cancel: cancelled
contain: contains containing
city: cities
format: formats
disclaimer: disclaimers
unify: unified
stre: string
researcher: researchers
compile: compiles
searchresult: searchresults
retrieve: retrieved
campus: campuses
common: commons
bookstore: bookstores
sapubliclibrarie: sapubliclibraries
find: finding
button: buttons
language: languages
firstheade: firstheading
islandpine: islandpines
chalmer: chalmers
formid: formids
select: selected
searchlimit: searchlimits
currentevent: currentevents
link: linked
publication: publications
goodread: goodreads
search: searching searches
librarythe: librarything
publiclibrarie: publiclibraries
searchstre: searchstring
look: looking
share: sharing shared
high: higher
coordinator: coordinators
science: sciences
serialssolution: serialssolutions
qccollection: qccollections
nicebook: nicebooks
index: indexes
sasklibrarie: sasklibraries
aggregate: aggregates
indicator: indicators
reservedid: reservedids
hzapp: hzapps
catlink: catlinks
economic: economics
halifaxpubliclibrarie: halifaxpubliclibraries
bookseller: booksellers
contribution: contributions
scroll: scrolling
pischool: pischools
spring: springs
urlencode: urlencoded
postpone: postponed
hide: hidden
manage: managed
plainlink: plainlinks
limit: limits
archive: archives
place: places
script: scripts
uniande: uniandes
sentence: sentences
log: logged
distribute: distributed
arenaportlet: arenaportlets
pinella: pinellas
barne: barnes
state: states
guideline: guidelines
philippine: philippines
standardnumber: standardnumbers
geelonglibrarie: geelonglibraries
stripbook: stripbooks
service: services
abooksource: abooksources
searchwork: searchworks
space: spaces
content: contents
advance: advanced
start: starts
titleresult: titleresults
groupvariantrecord: groupvariantrecords
arkansa: arkansas
order: ordering
comic_strip: comics
enable: enabled
organization: organizations
include: including includes
number: numbers
strandbook: strandbooks
price: prices
keyword: keywords
partner: partners
citation: citations
nyvkere: nyvkeres
swap: swapping
right: rights
variant: variants
collapse: collapsed collapses
doabook: doabooks
edition: editions
rizall: rizalls
encyclopedia: encyclopedias
catalogue: catalogues
county: counties
recentchange: recentchanges
tokenize: tokenized
long: longer
catalog: catalogs
mnpal: mnpals
biblioteca: bibliotecas
dissertation: dissertations
paper: papers
member: members
indie: indies
database: databases
bowl: bowling
encourage: encouraged
control: controls
server: servers
nentrie: nentries
editor: editors
wyome: wyoming
southdublinlibrarie: southdublinlibraries
publisher: publishers
robot: robots
event: events
athen: athens
article: articles
archivist: archivists
industry: industries
guide: guides
relate: related
bruxelle: bruxelles
hundred: hundreds
learn: learning
ebook: ebooks
correspond: corresponding
checkspelle: checkspelling
humanity: humanities
well: better
subscriber: subscribers
author: authors
mycontribution: mycontributions
dash: dashes
wmflab: wmflabs
anger: angers
assign: assigned
scholar: scholars
donate: donating
country: countries
clusterresult: clusterresults
abebook: abebooks
listing: listings
browse: browsing
querystre: querystring
caction: cactions
monograph: monographs
design: designed
barbado: barbados
booksource: booksources
automate: automated
cwmar: cwmars
resourceloaderdynamicstyle: resourceloaderdynamicstyles
material: materials
reszlete: reszletes
namespace: namespaces
nationale: nationales
fspace: fspaces
college: colleges
arrive: arrived
teime: teimes
reason: reasons
identifier: identifiers
specialpage: specialpages
question: questions
pin: pinned
system: systems
head: heading
coord: coords
click: clicking
frame: framed
librarybook: librarybooks
suvideal: suvideals
address: addressing
flander: flanders
power: powered
range: ranges
extend: extended
ccontain: ccontains
source: sources
exist: exists
host: hosted
great: greater
result: results
project: projects
branch: branches
moine: moines
charle: charles
gapine: gapines
benavide: benavides
visit: visiting
edit: editing
option: options
usecode: usecodes
tompkin: tompkins
library: libraries
locate: located
allow: allows
website: websites
federate: federated
unpin: unpinned
perpusna: perpusnas
contributor: contributors
record: records
comprise: comprises
detail: details
seller: sellers
developer: developers
decode: decoding
university: universities
engine: engines
integrate: integrated
cover: covering
intern: interns
powell: powells
image: images
thesis: theses
resource: resources
