anniversary: anniversaries
specialpage: specialpages
question: questions
change: changes
addition: additions
handwrite: handwriting
obtain: obtained
german: germans
pin: pinned
indicator: indicators
damage: damaged
head: heading
terminal: terminals
catlink: catlinks
recentchangeslinke: recentchangeslinked
load: loaded
roll: rolling
contribution: contributions
resource: resources
specie: species
bruge: bruges
reduce: reduced
execute: executed
associate: associated
railway: railways
uncover: uncovered
structure: structured
recentchange: recentchanges
retire: retired
bring: brought
cause: caused causes
hide: hidden
power: powered
plainlink: plainlinks
lead: leading
massacre: massacres
collapse: collapsed collapses
statistic: statistics
place: places
tropic: tropics
revision: revisions
edit: edited editing
prettybar: prettybars
hero: heroes
sentence: sentences
feature: featured
encourage: encouraged
suggest: suggested
wikispecie: wikispecies
siegfrie: siegfried
cultivate: cultivated
control: controls
log: logged
release: released
source: sources
creativecommon: creativecommons
announcement: announcements
editor: editors
flood: floods flooding
exist: exists
host: hosted
visit: visited
weapon: weapons
nowraplink: nowraplinks
fruit: fruits
ally: allied allies
become: became
wildfire: wildfires
contain: contains containing
region: regions
brother: brothers
death: deaths
complication: complications
attempt: attempted
manual: manuals
robot: robots
disclaimer: disclaimers
project: projects
eagle: eagles
event: events
article: articles
state: states
force: forces
wikibook: wikibooks
win: winning
retrieve: retrieved
play: played
guide: guides
improvement: improvements
relate: related
christodoulide: christodoulides
recognise: recognised
await: awaiting
common: commons
ardenne: ardennes
ship: shipping
learn: learning
consider: considered
logistic: logistics
textbook: textbooks
roger: rogers
option: options
include: including
policy: policies
mycontribution: mycontributions
otherproject: otherprojects
issue: issues
identify: identified
picture: pictures pictured
language: languages
content: contents
firstheade: firstheading
communication: communications
register: registered
reproduce: reproduced
troop: troops
protect: protected
donate: donating
water: waters
portal: portals
parse: parsed
select: selected
double: doubled
demolish: demolishing
list: listed
second: seconds
currentevent: currentevents
enable: enabled
trigger: triggered
browse: browsing
link: linked
large: largest larger
caction: cactions
saren: sarens
render: rendering
developer: developers
size: sizing
decode: decoding
musical: musicals
elect: elected
explore: explores
australian: australians
discussion: discussions
high: highest
resourceloaderdynamicstyle: resourceloaderdynamicstyles
namespace: namespaces
call: called
preparation: preparations
candidate: candidates
quotation: quotations
topic: topics
write: written
unporte: unported
variant: variants
image: images
entity: entities
broad: broader
election: elections
publish: published
license: licenses
discharge: discharged
threaten: threatened
raise: raising
cache: cached
capture: captured
deny: denying
chief: chiefs
