change: changed changes
need: needed needing
increase: increases increased
province: provinces
expand: expanded
recentchangeslinke: recentchangeslinked
archive: archives archived
aimeguenon: aimeguenons
canalize: canalized
crossing: crossings
nobleman: noblemen
associate: associated
distributary: distributaries
indissociable: indissociables
diteur: diteurs
lead: leading
viller: villers
bibliography: bibliographies
statistic: statistics
chier: chiers
xavi: xavier
revision: revisions
fbook: fbooks
barge: barges
nowraplink: nowraplinks
contain: containing
confirm: confirmed
connect: connecting connects
run: running
skirt: skirting
wetere: wetering
seille: seilles
breuvanne: breuvannes
metre: metres
bishopric: bishoprics
city: cities
disclaimer: disclaimers
understand: understanding
malade: malades
presume: presumed
retrieve: retrieved
allemand: allemands
respelle: respelling
common: commons
partement: partements
government: governments
decade: decades
ruppe: ruppes
rejet: rejets
reference: references
serae: seraing
disunite: disunited
language: languages
firstheade: firstheading
collection: collections
cross: crossed
water: waters
afrikaan: afrikaans
select: selected
list: listed
rentiel: rentiels
currentevent: currentevents
montbra: montbras
station: stations
kilometre: kilometres
silt: silted
subject: subjects
link: linked
citerefbarneveldhoitinkfring: citerefbarneveldhoitinkfrings
identity: identities
refer: referring refers
high: highest
detail: detailed
langre: langres
study: studies
estuary: estuaries
vaucouleur: vaucouleurs
unporte: unported
omit: omitted
hargnie: hargnies
cache: cached
hierge: hierges
coordinate: coordinates
divide: divided
deutschlandlie: deutschlandlied
mazure: mazures
nopopup: nopopups
sign: signed
imagecollection: imagecollections
discover: discovered
langlink: langlinks
vosge: vosges
indicator: indicators
drain: draining
catlink: catlinks
citizen: citizens
contribution: contributions
enter: entered
declare: declared
hide: hidden
plainlink: plainlinks
result: resulting
join: joined
place: places
receive: receives
estimate: estimates
descend: descends
sentence: sentences
log: logged
flood: floods flooding
participate: participating
northward: northwards
stanza: stanzas
vessel: vessels
small: smallest
redirect: redirected
microformat: microformats
rebaptize: rebaptized
dot: dotted
come: coming
state: states
method: methods
fpage: fpages
anchamp: anchamps
force: forced forces
stretch: stretches
consider: considered
ourche: ourches
param: params
ayvelle: ayvelles
schan: schans
bazoille: bazoilles
define: defined
revi: revier
content: contents
parse: parsed
match: matches
second: seconds
enable: enabled
category: categories
department: departments
meurtrier: meurtriers
canalise: canalised
tributary: tributaries
canal: canals
remain: remained
holland: hollands
waterway: waterways
fupload: fuploads
aubrive: aubrives
call: called
grand: grands
topic: topics
variant: variants
derive: derived derives
entity: entities
continue: continues
license: licenses
collapse: collapsed collapses
painter: painters
hertogswetere: hertogswetering
rancenne: rancennes
third: thirds
complete: completed
tag: tagged
authority: authorities
floe: floing
turn: turning
represent: representing represented
order: ordered
pannerden: pannerdens
forge: forges
brabant: brabants
structure: structured
recentchange: recentchanges
long: longer
fring: frings
finish: finished
showresult: showresults
soisson: soissons
prinse: prinses
regard: regarding
saint: saints
pass: passes
nedersaksie: nedersaksies
george: georges
encourage: encouraged
characteristic: characteristics
create: created
gaule: gaules
control: controls
course: courses
editor: editors
become: became
region: regions
space: spacing
complication: complications
twist: twists
robot: robots
bypass: bypassed
event: events
article: articles
manis: manises
guide: guides
mention: mentioned
relate: related
upload: uploads
sitelink: sitelinks
bruxelle: bruxelles
ardenne: ardennes
oxforddictionarie: oxforddictionaries
rocher: rochers
early: earlier
well: better
lack: lacking
style: styles
mycontribution: mycontributions
otherproject: otherprojects
reach: reached
judge: judging
raamsdonksve: raamsdonksveer
existant: existants
register: registered
wetland: wetlands
donate: donating
photo: photos
paroche: paroches
far: further
country: countries
paint: painted
browse: browsing
recur: recurring
brieulle: brieulles
caction: cactions
follow: following followed
river: rivers
booksource: booksources
dam: dammed
resourceloaderdynamicstyle: resourceloaderdynamicstyles
namespace: namespaces
bijland: bijlands
defeat: defeated
andrie: andries
volume: volumes
impact: impacts
identifier: identifiers
specialpage: specialpages
aucun: aucuns
fontaine: fontaines
island: islands
cochon: cochons
pin: pinned
mark: marked
head: heading
eastward: eastwards
load: loaded
reunite: reunited
reduce: reduced
chanoine: chanoines
ricain: ricains
flander: flanders
chalaine: chalaines
power: powered
burgundian: burgundians
bouvigne: bouvignes
citerefwol: citerefwols
gisve: gisves
noyer: noyers
uitvoere: uitvoering
edit: edited editing
industrialize: industrialized
drown: drowning
function: functions
greffele: greffeling
monthairon: monthairons
paysage: paysages
release: released
source: sources
creativecommon: creativecommons
exist: exists
rename: renamed
host: hosted
visit: visited
great: greatest
lyric: lyrics
project: projects
branch: branches
peninsula: peninsulas
charle: charles
improvement: improvements
fossil: fossils
bazeille: bazeilles
option: options
discharge: discharges
library: libraries
picture: pictures
flow: flowing
chanteur: chanteurs
publish: publishing
column: columns
unpin: unpinned
trigger: triggered
render: rendering
developer: developers
decode: decoding
serve: served
vilosne: vilosnes
menge: menges
rise: rising
point: points
write: written
arch: arches
image: images
split: splits
bridge: bridges
form: forming
close: closed
propose: proposed
vanish: vanished
resource: resources
